dataset,som_seed,regime,reference_informed_k,selected_k,ari,macro_f1,unit,source_id
Levine_32dim,0,official_auto_max40,False,6,0.6795100768420723,0.2891605202507067,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,0,official_fixed_ktrue,True,14,0.6852883869972574,0.4720614093782027,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,0,official_fixed_k40,False,40,0.7814610675490865,0.7776391852647675,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,1,official_auto_max40,False,6,0.6639745658857414,0.28734977866003714,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,1,official_fixed_ktrue,True,14,0.6612747377963847,0.4747322419492791,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,1,official_fixed_k40,False,40,0.58857519640177,0.6916637589612206,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,2,official_auto_max40,False,6,0.6818162615060785,0.2900535598260375,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,2,official_fixed_ktrue,True,14,0.689540325598769,0.4213705171271917,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,2,official_fixed_k40,False,40,0.7717124356192298,0.6910914037235097,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,3,official_auto_max40,False,6,0.6775841530888788,0.28963918722812376,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,3,official_fixed_ktrue,True,14,0.6895207912676249,0.47065421410969627,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,3,official_fixed_k40,False,40,0.7744684512603799,0.730788058006462,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,4,official_auto_max40,False,7,0.6788364356894607,0.29058402921854737,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,4,official_fixed_ktrue,True,14,0.6765484444856441,0.4783402755807689,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,4,official_fixed_k40,False,40,0.7602952100270073,0.6994526074758757,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,5,official_auto_max40,False,6,0.6803988166036095,0.29106836309066475,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,5,official_fixed_ktrue,True,14,0.6545313273707335,0.47289896653356145,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,5,official_fixed_k40,False,40,0.8144133436965783,0.7343228246441339,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,6,official_auto_max40,False,6,0.6542901195950971,0.2843096208485951,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,6,official_fixed_ktrue,True,14,0.6878830791873398,0.47511061339818766,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,6,official_fixed_k40,False,40,0.8182033421585114,0.7605040361952968,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,7,official_auto_max40,False,7,0.6938446945735425,0.3423605600526568,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,7,official_fixed_ktrue,True,14,0.659402937649637,0.4717396814149887,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,7,official_fixed_k40,False,40,0.7768349944523232,0.7602522358946738,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,8,official_auto_max40,False,7,0.6933670263291216,0.34106352011890984,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,8,official_fixed_ktrue,True,14,0.6769039895177933,0.415297613976157,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,8,official_fixed_k40,False,40,0.8134460506216065,0.7599178851112202,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,9,official_auto_max40,False,6,0.682350557401147,0.2905993372204924,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,9,official_fixed_ktrue,True,14,0.6698256612478687,0.47248862693245747,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,9,official_fixed_k40,False,40,0.7728353537061713,0.735277892830141,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,10,official_auto_max40,False,7,0.692923285532822,0.3415255567945249,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,10,official_fixed_ktrue,True,14,0.6736810311516253,0.4758694512114783,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,10,official_fixed_k40,False,40,0.7772430339975367,0.741986823730506,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,11,official_auto_max40,False,8,0.6797103566078958,0.35065333321129416,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,11,official_fixed_ktrue,True,14,0.6745677422956693,0.41892253867677104,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,11,official_fixed_k40,False,40,0.7859667964106407,0.7039652487317744,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,12,official_auto_max40,False,6,0.6732612586283505,0.28952054336651006,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,12,official_fixed_ktrue,True,14,0.660575880226906,0.47304314779301776,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,12,official_fixed_k40,False,40,0.7539086714381839,0.759753529180685,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,13,official_auto_max40,False,7,0.6594901111650402,0.28589892609868855,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,13,official_fixed_ktrue,True,14,0.6896000009434257,0.4687031843453326,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,13,official_fixed_k40,False,40,0.6929165534491287,0.7558805860164941,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,14,official_auto_max40,False,6,0.6598918049623694,0.28579629805270573,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,14,official_fixed_ktrue,True,14,0.6911142069044164,0.4804062418399519,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,14,official_fixed_k40,False,40,0.6985364133779294,0.7463359335632204,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,15,official_auto_max40,False,6,0.6797671427093761,0.2906022651709935,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,15,official_fixed_ktrue,True,14,0.661642218769761,0.4693482478710762,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,15,official_fixed_k40,False,40,0.7594081543711232,0.7554895425913305,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,16,official_auto_max40,False,6,0.6569991061458093,0.2845016530308007,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,16,official_fixed_ktrue,True,14,0.6894035113793742,0.539184287542349,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,16,official_fixed_k40,False,40,0.8571458107352024,0.7791164911918365,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,17,official_auto_max40,False,6,0.6816935696776276,0.2908532294779677,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,17,official_fixed_ktrue,True,14,0.6953101957007544,0.4742351356693923,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,17,official_fixed_k40,False,40,0.7354009004998227,0.6963377015250736,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,18,official_auto_max40,False,6,0.6644076619766436,0.2865204503404623,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,18,official_fixed_ktrue,True,14,0.6949610835646782,0.47771042033979294,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,18,official_fixed_k40,False,40,0.5998787243706124,0.6845215937467853,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,19,official_auto_max40,False,6,0.6763520298261633,0.28941487559422835,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,19,official_fixed_ktrue,True,14,0.7026959324759702,0.48329874936657974,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,19,official_fixed_k40,False,40,0.7700479002306658,0.7048028462968313,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,20,official_auto_max40,False,6,0.6812973107196307,0.29004702283149364,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,20,official_fixed_ktrue,True,14,0.6632315333740665,0.47049554528821574,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,20,official_fixed_k40,False,40,0.6393435456376675,0.6742086790951352,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,21,official_auto_max40,False,7,0.6819997560924954,0.33890622092703626,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,21,official_fixed_ktrue,True,14,0.6982112482731841,0.4791652956899271,paired_SOM_seed,flowsom_auto_multiclass_runs
