dataset,regime,metric,n,mean,sd,median,min,max,q25,q75
Levine_32dim,official_auto_max40,selected_k,30,6.366666666666666,0.5560534167675355,6.0,6.0,8.0,6.0,7.0
Levine_32dim,official_auto_max40,ari,30,0.6767095809348085,0.010709848560387203,0.679610216724984,0.6542901195950971,0.6944644384877379,0.6700857936684609,0.6816053079888144
Levine_32dim,official_auto_max40,macro_precision,30,0.265466218658893,0.018421955922793182,0.25733412932139305,0.25310971977527263,0.3183269666319343,0.2566251330524699,0.2581313793916225
Levine_32dim,official_auto_max40,macro_recall,30,0.36525500561118324,0.028917511402840053,0.3521067505909231,0.3462428820025161,0.42476505334025566,0.35006425360728527,0.3533902576803274
Levine_32dim,official_auto_max40,macro_f1,30,0.2995657502821203,0.022235222439104602,0.2900502913287656,0.2843096208485951,0.35065333321129416,0.28780246405770454,0.290822715047779
Levine_32dim,official_auto_max40,hungarian_accuracy,30,0.7046049937290434,0.008031590349078205,0.7048155186976888,0.69046110727175,0.7227117407663365,0.6991644590340167,0.7059841242417262
Levine_32dim,official_auto_max40_selector_seed_sensitivity,selected_k,30,6.0,0.0,6.0,6.0,6.0,6.0,6.0
Levine_32dim,official_auto_max40_selector_seed_sensitivity,ari,30,0.6795100768420721,2.2584051416334807e-16,0.6795100768420723,0.6795100768420723,0.6795100768420723,0.6795100768420723,0.6795100768420723
Levine_32dim,official_auto_max40_selector_seed_sensitivity,macro_precision,30,0.25670697471778425,5.646012854083702e-17,0.2567069747177843,0.2567069747177843,0.2567069747177843,0.2567069747177843,0.2567069747177843
Levine_32dim,official_auto_max40_selector_seed_sensitivity,macro_recall,30,0.34989792931180097,1.1292025708167404e-16,0.34989792931180086,0.34989792931180086,0.34989792931180086,0.34989792931180086,0.34989792931180086
Levine_32dim,official_auto_max40_selector_seed_sensitivity,macro_f1,30,0.2891605202507067,0.0,0.2891605202507067,0.2891605202507067,0.2891605202507067,0.2891605202507067,0.2891605202507067
Levine_32dim,official_auto_max40_selector_seed_sensitivity,hungarian_accuracy,30,0.7040620440758656,2.2584051416334807e-16,0.7040620440758658,0.7040620440758658,0.7040620440758658,0.7040620440758658,0.7040620440758658
Levine_32dim,official_fixed_k40,selected_k,30,40.0,0.0,40.0,40.0,40.0,40.0,40.0
Levine_32dim,official_fixed_k40,ari,30,0.7566467685425233,0.060284012984810495,0.7708801679249477,0.58857519640177,0.8571458107352024,0.7524738679722637,0.783311222151733
Levine_32dim,official_fixed_k40,macro_precision,30,0.8112521787293662,0.022142741535856526,0.8136452513715207,0.7520833523588315,0.8471317200920011,0.8000931938085302,0.8269109112627914
Levine_32dim,official_fixed_k40,macro_recall,30,0.72130922273358,0.033144262158175855,0.7192804945958131,0.6533337658979853,0.7946514097398774,0.7005095399428255,0.7473418854242204
Levine_32dim,official_fixed_k40,macro_f1,30,0.7314422978902291,0.028340199080125666,0.7348003587371374,0.6742086790951352,0.7791164911918365,0.7052952675335876,0.7557828251602032
Levine_32dim,official_fixed_k40,hungarian_accuracy,30,0.7480044920525227,0.05959939007726883,0.7514397604238654,0.5910120555939492,0.8485468018121785,0.7300161253167473,0.787486562236044
Levine_32dim,official_fixed_ktrue,selected_k,30,14.0,0.0,14.0,14.0,14.0,14.0,14.0
Levine_32dim,official_fixed_ktrue,ari,30,0.6798073793806586,0.013136698185018694,0.6805570012606867,0.6545313273707335,0.7026959324759702,0.6704559129441432,0.6895354420159829
Levine_32dim,official_fixed_ktrue,macro_precision,30,0.4574743764333283,0.030205558534739475,0.45263774403708806,0.4094074817266878,0.5416564007513569,0.43761791395519223,0.46935384231209265
Levine_32dim,official_fixed_ktrue,macro_recall,30,0.5562404277878052,0.03044218270346511,0.5582073463733757,0.48522530689577803,0.6121824206153225,0.5478264263824545,0.5688320347829349
Levine_32dim,official_fixed_ktrue,macro_f1,30,0.47313182899243444,0.02832784814292102,0.47492142767373335,0.415297613976157,0.5456580573398019,0.4709255809360194,0.47895904066263756
Levine_32dim,official_fixed_ktrue,hungarian_accuracy,30,0.7272853797128158,0.012583742976061364,0.7283364048222376,0.7033229670582815,0.7491745373569838,0.7182244874452891,0.7368093949166858
Samusik_01,official_auto_max40,selected_k,30,8.166666666666666,1.2617266038997932,8.0,6.0,11.0,7.0,9.0
Samusik_01,official_auto_max40,ari,30,0.41728550228562183,0.013817367417618394,0.4139305659425243,0.3971440849393933,0.4572313256457579,0.40942541393196347,0.42162558621537466
Samusik_01,official_auto_max40,macro_precision,30,0.22332453642195108,0.04713476611486731,0.21301104557188155,0.14624673027240584,0.32524173879001644,0.18956982081156376,0.2581427224207852
Samusik_01,official_auto_max40,macro_recall,30,0.29821773428051945,0.050766293344720444,0.28925223421601315,0.20620146960348226,0.4182672224560095,0.25966301544340875,0.33070987854356076
Samusik_01,official_auto_max40,macro_f1,30,0.24762000777683116,0.04902232882849561,0.23647519355536822,0.17002859351704988,0.35824945090489835,0.21190114955191505,0.2815603283338396
Samusik_01,official_auto_max40,hungarian_accuracy,30,0.5388248421818089,0.011920934354733757,0.5382713031049593,0.5220882778853929,0.5686720704116751,0.5303208395238185,0.5462499764918285
Samusik_01,official_auto_max40_selector_seed_sensitivity,selected_k,30,9.9,0.8448627719625692,10.0,9.0,11.0,9.0,11.0
Samusik_01,official_auto_max40_selector_seed_sensitivity,ari,30,0.43814321413119506,0.016547644662514432,0.4520859968807198,0.420188490289303,0.454295330620517,0.42082668401642087,0.4538034268069311
Samusik_01,official_auto_max40_selector_seed_sensitivity,macro_precision,30,0.2969642327683604,0.0285039161496429,0.306290486050481,0.2643672963071485,0.33296890785461924,0.2677653648070679,0.33026688187425174
Samusik_01,official_auto_max40_selector_seed_sensitivity,macro_recall,30,0.3656961104650487,0.0347205935599145,0.3701524722982443,0.32864984762632826,0.41082028051742236,0.32864984762632826,0.41082028051742236
Samusik_01,official_auto_max40_selector_seed_sensitivity,macro_f1,30,0.31851612131583734,0.03035731228014261,0.32608955457321076,0.28409998050107044,0.35788536413464006,0.2874608121339445,0.3546874603446501
Samusik_01,official_auto_max40_selector_seed_sensitivity,hungarian_accuracy,30,0.5607400999254006,0.011054750081204892,0.5676565174054501,0.5486243018073083,0.5730163804938596,0.5486243018073083,0.5730163804938596
