dataset,scheme,source_run,seed,ari,macro_f1,weighted_f1,hungarian_accuracy,median_bmu_distance,runtime_seconds,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,0,0.7814610675490865,0.7776391852647675,0.8613485107088108,0.7910811640942947,2.177340745925904,3.735390099995129,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,1,0.7205988090831141,0.7096385689144719,0.7819076896137829,0.6943388620133609,2.1754019260406494,2.258840399998008,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,2,0.6620466456976418,0.6785211525272451,0.7673074003104172,0.6557148890424633,2.173229455947876,2.265697299997555,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,3,0.773672874477715,0.7313945074383664,0.8428521946786569,0.7645895722951701,2.1773602962493896,2.2476277999958256,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,4,0.7602952100270073,0.6994526074758757,0.8272739724059045,0.7455271442831912,2.175900936126709,2.425338900000497,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,5,0.7827466788606698,0.715234736395047,0.8563737552229864,0.7833640482223758,2.174213171005249,2.534169700003986,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,6,0.8017138870237982,0.7548843027684607,0.860807487101076,0.7994989633724948,2.1803221702575684,2.2943556000027456,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,7,0.6388144350222609,0.7372409195906908,0.7547678301764598,0.640136681256239,2.1684162616729736,2.3222977999976138,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,8,0.7915950328979648,0.7435121356945462,0.8661569326208871,0.8045573216616755,2.1802096366882324,2.3725434000007226,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,9,0.7834615301633824,0.7548596101769641,0.8606086277993149,0.789190278737618,2.169353723526001,2.271837100000994,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,10,0.7742883997845015,0.7416062927395094,0.8392045395258817,0.7592912539353451,2.165710210800171,2.3052330000064103,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,11,0.7340389112563991,0.6833663104551453,0.8082184947178761,0.7203217384627199,2.1789278984069824,2.278274299998884,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,12,0.6776891497818996,0.7411032602472604,0.7645525567170828,0.6537376180603548,2.1656510829925537,2.298837599999388,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,13,0.6929165534491287,0.7558805860164941,0.8135977609533933,0.7130749443292637,2.1783387660980225,2.346955599998182,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,14,0.6827184348808816,0.7240923314959066,0.8196348478857225,0.7217135068724564,2.1780896186828613,2.7062080999967293,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,15,0.7533492076018627,0.7550358220148736,0.8396967102638753,0.7534746218229287,2.170369863510132,2.483205600001384,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,16,0.8571458107352024,0.7791164911918365,0.8969081618644017,0.8485468018121785,2.179135322570801,2.501283899997361,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,17,0.7354009004998227,0.6963377015250736,0.811150596080047,0.7276357214159563,2.176311016082764,2.5152213999972446,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,18,0.5950783978549284,0.677802504575703,0.696158759399172,0.5779390309452507,2.1621315479278564,2.539111199999752,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,19,0.7700479002306658,0.7048028462968313,0.8391470717277452,0.7603662750518314,2.1711292266845703,1.7916229000038584,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,20,0.6393435456376675,0.6742086790951352,0.7400507047271071,0.6203255778238501,2.174030303955078,1.689623099999153,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,21,0.6617660701880156,0.7122753738151564,0.7594411032847868,0.6479113875451125,2.167519807815552,1.660480099999404,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,22,0.7758731472588684,0.7200238270454592,0.8621342114788894,0.7868674652537818,2.175219774246216,1.720573599995987,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,23,0.7584211602779366,0.7561388094750565,0.8317005626620555,0.749875220763265,2.1726303100585938,1.6573732999968342,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,24,0.7672914520998918,0.733182428785261,0.8364252735181208,0.7546840205789757,2.180326700210572,1.6954665999946883,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,25,0.7152826430650723,0.7359057699139526,0.8181132684690081,0.7226445519465561,2.173264741897583,1.790478199996869,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,26,0.7468710987472916,0.6994275078862697,0.8069249621461388,0.7202929432542425,2.168783664703369,1.8406887999954047,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,27,0.7694388433470919,0.725719473101402,0.8193381805404023,0.7370229593795592,2.172177314758301,1.7491090000039549,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,28,0.7828783335397039,0.7081017906325554,0.8289245590422907,0.7484834523535284,2.174103260040283,1.7262541000018246,265627,104184,14,40
Levine_32dim,Python_20k_train,EXP-021A_flowsom_levine32_stability30_20260910,29,0.8049902850482863,0.7294081860270374,0.8554483184843568,0.7916570682638409,2.172334909439087,1.8840247000043744,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,0,0.8039410457140058,0.7336714012386826,0.8548405589955699,0.7952564693235046,2.1532532725805,31.3,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,1,0.7654815993403912,0.7364095832643341,0.8352453416196609,0.7555094832219919,2.14883770011208,31.13,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,2,0.828752834502508,0.7027946972594251,0.8767173886826248,0.8219304307763188,2.15005498791785,31.02,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,3,0.8368018378184318,0.7825873012525931,0.8899196856282724,0.8353681947323965,2.15337185454187,30.6,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,4,0.8113516296182829,0.7378849949183122,0.874041018959685,0.8141941180987484,2.15394450592785,32.32,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,5,0.7877974915268757,0.6910229012686139,0.8522554221116766,0.7793615142440298,2.15308562123249,32.69,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,6,0.7590719754543143,0.717002009473429,0.8240634231423358,0.745162404975812,2.15195192459831,32.77,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,7,0.814375639601953,0.7543408940095766,0.8712011859428777,0.8149523919219842,2.15478564196892,31.4,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,8,0.8003664146934959,0.7342835785561492,0.8545498175790642,0.7941046609844122,2.15461763601229,30.87,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,9,0.7864738961352965,0.7691656535833908,0.8589733190651065,0.7830377025262997,2.15209534247379,30.72,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,10,0.8176667982688743,0.7913571755293702,0.8786047591644638,0.8207018352146203,2.15064264013091,31.06,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,11,0.819252335463333,0.7959370130993006,0.8744575248796841,0.8151347615756738,2.15441072702029,31.25,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,12,0.7910957308676978,0.734208991946313,0.8568160429512707,0.7840071412117023,2.15244731473245,30.75,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,13,0.8145397860105825,0.7389743426757333,0.8793386640106926,0.8197323965292176,2.15129446507476,30.92,265627,104184,14,40
