dataset,metric,paired_seeds,mean_all_cells_fit,sd_all_cells_fit,mean_labeled_only_fit,sd_labeled_only_fit,mean_delta_all_minus_labeled,median_delta_all_minus_labeled,sd_delta,ci95_delta_low,ci95_delta_high,all_cells_better_fraction,wilcoxon_w,wilcoxon_p_raw,shapiro_w_delta,shapiro_p_delta,wilcoxon_p_holm,holm_significant_0_05
Levine_13dim,ari,30,0.7599914637366729,0.025741553877852638,0.5678064378042378,0.029695618014077503,0.19218502593243514,0.19334280117564073,0.039523091263525635,0.1774268611109842,0.20694319075388606,1.0,0.0,1.862645149230957e-09,0.9913368414389229,0.9961700018163185,2.2351741790771484e-08,True
Levine_13dim,macro_precision,30,0.4426107820794854,0.013751629508629059,0.4602603883739094,0.012366272005415279,-0.01764960629442405,-0.019564854100608237,0.019852686400624125,-0.025062721227551175,-0.010236491361296923,0.2,53.0,7.910653948783875e-05,0.9708254696180406,0.5620021984371371,0.0005537457764148712,True
Levine_13dim,macro_recall,30,0.49968313249746965,0.01983141745391353,0.4322308851719152,0.020941007209300814,0.06745224732555426,0.07187707855965308,0.028828620215343777,0.05668746362287627,0.07821703102823224,1.0,0.0,1.862645149230957e-09,0.9779589751416506,0.7690783578058211,2.2351741790771484e-08,True
Levine_13dim,macro_f1,30,0.4427789757029849,0.015285341884749,0.4008507396574506,0.01727896374302192,0.04192823604553432,0.04379849993362339,0.02430407123103592,0.03285294669965952,0.05100352539140912,0.9333333333333333,4.0,1.30385160446167e-08,0.9790522268751534,0.7998277428011574,1.1734664440155029e-07,True
Levine_32dim,ari,30,0.6551413902814356,0.06989915302743309,0.6044440860104274,0.0651180636033192,0.05069730427100859,0.06449541736115977,0.09893639315765751,0.013753847917227176,0.08764076062479001,0.7666666666666667,107.0,0.008705463260412216,0.9470155476957973,0.14056988888484434,0.034821853041648865,True
Levine_32dim,macro_precision,30,0.5000237859230849,0.03789862598217234,0.5093149776401217,0.04430748787027219,-0.009291191717036766,0.0018114061024894212,0.056204460575467734,-0.030278282209095113,0.011695898775021583,0.5666666666666667,215.0,0.7303419969975948,0.9268374905345796,0.040494009306452396,0.7303419969975948,False
Levine_32dim,macro_recall,30,0.4788194571764388,0.04599839495806186,0.4570306764297316,0.05172142666669152,0.02178878074670704,0.033258716518455717,0.06913092101664878,-0.004025129400649124,0.0476026908940632,0.6,148.0,0.08406547829508781,0.9851642725718587,0.9399501337623779,0.25219643488526344,False
Levine_32dim,macro_f1,30,0.46147051398694217,0.04397158117644051,0.4463481796899147,0.04938222737559949,0.015122334297027556,0.030106830174376403,0.06494251790809012,-0.009127600426376108,0.03937226902043122,0.6666666666666666,177.0,0.2621222734451294,0.9577883472892247,0.2716711662310814,0.5242445468902588,False
Samusik_01,ari,30,0.5676962551536787,0.045406200757150184,0.516847219920892,0.07496701878051701,0.05084903523278661,0.059236959366973874,0.08408848965486118,0.019449877164941433,0.0822481933006318,0.8,87.0,0.0020201820880174637,0.9137601411201204,0.018533919202330714,0.010100910440087318,True
Samusik_01,macro_precision,30,0.5605607776997661,0.03484755956923777,0.5252938434359214,0.037592592035032235,0.03526693426384465,0.026822360538569512,0.04805678206787518,0.017322236926853436,0.05321163160083586,0.7333333333333333,74.0,0.0006665531545877457,0.9594692567637562,0.30022835043194596,0.003999318927526474,True
Samusik_01,macro_recall,30,0.5995027324525289,0.041935907899485404,0.5058863829953889,0.04142590860926947,0.09361634945714006,0.09499023812917701,0.057351739338382696,0.07220085803443703,0.1150318408798431,0.9666666666666667,3.0,9.313225746154785e-09,0.9817919192012701,0.8709368960685901,9.313225746154785e-08,True
Samusik_01,macro_f1,30,0.5363527811604091,0.04042574634852508,0.4753414079040855,0.0418439299655697,0.061011373256323644,0.054129298359997774,0.056152677478591144,0.04004361889041935,0.08197912762222793,0.9,21.0,8.326023817062378e-07,0.9755706207035725,0.6995429869537281,6.660819053649902e-06,True
