dataset,algorithm,scenario,kind,nominal_fraction,seed,changed_labels,excluded_events,evaluation_mode,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events,n_predicted_clusters_evaluable,clusters_absent_from_evaluation,overclustering_ratio_evaluable,ari,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hungarian_accuracy,matched_clusters,unmatched_evaluable_clusters,unmatched_evaluable_events,mean_population_effective_predicted_clusters,median_population_effective_predicted_clusters,mean_population_split_clusters_ge_1pct,mean_evaluable_cluster_purity,weighted_evaluable_cluster_purity,mean_cluster_effective_true_populations,mean_cluster_merge_populations_ge_1pct,baseline_ari,baseline_macro_precision,baseline_macro_recall,baseline_macro_f1,baseline_hungarian_accuracy,delta_ari_from_baseline,delta_macro_precision_from_baseline,delta_macro_recall_from_baseline,delta_macro_f1_from_baseline,delta_hungarian_accuracy_from_baseline
Levine_32dim,X-shift,baseline,unchanged,0.0,,0,0,multiclass_rectangular_hungarian,104184,104184,14,168,168,0,12.0,0.4663553829493051,0.8236583706632051,0.5210117010074958,0.623280544055724,0.9697570965360686,0.4997408431237041,0.6519232465735938,0.4997408431237042,14,154,50065,2.792562641066028,2.488001126442178,6.5,0.9505963330678981,0.970561698533364,1.1159340155750002,1.4761904761904763,0.4663553829493051,0.8236583706632051,0.5210117010074958,0.623280544055724,0.4997408431237042,0.0,0.0,0.0,0.0,0.0
Levine_32dim,FlowSOM,baseline,unchanged,0.0,,0,0,multiclass_rectangular_hungarian,104184,104184,14,37,37,0,2.642857142857143,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.9704897505832459,0.7910811640942946,0.8613485107088108,0.7910811640942947,14,23,18013,1.6651773972210793,1.4626037310108515,3.357142857142857,0.8499671774860236,0.9625566305766721,1.4924134741637418,2.4054054054054053,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.7910811640942947,0.0,0.0,0.0,0.0,0.0
Levine_32dim,X-shift,boundary_flip_01pct,boundary_flip,0.01,,952,0,multiclass_rectangular_hungarian,104184,104184,14,168,168,0,12.0,0.4671550999617834,0.8264081636175703,0.5220660778224068,0.6251402186951976,0.9705323453156492,0.5003551409045535,0.6528638746210589,0.5003551409045535,14,154,50065,2.7802602091597604,2.465683672361261,6.571428571428571,0.942934513048956,0.9710032250633495,1.1396558641252421,1.5476190476190477,0.4663553829493051,0.8236583706632051,0.5210117010074958,0.623280544055724,0.4997408431237042,0.0007997170124782738,0.002749792954365171,0.00105437681491094,0.001859674639473674,0.00061429778084926
Levine_32dim,FlowSOM,boundary_flip_01pct,boundary_flip,0.01,,952,0,multiclass_rectangular_hungarian,104184,104184,14,37,37,0,2.642857142857143,0.7800685840066526,0.8497179003139046,0.7673529732644881,0.7811574448194769,0.9710134310271201,0.7915130922214544,0.8619784861803852,0.7915130922214544,14,23,18013,1.6541199270642066,1.4567942748865224,3.357142857142857,0.8499723328463428,0.9625758273823236,1.4634725104428519,2.4054054054054053,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.7910811640942947,-0.001392483542433931,0.004195245567698014,0.002702843739878058,0.003518259554709413,0.000431928127159642
Levine_32dim,X-shift,boundary_exclude_01pct,boundary_exclude,0.01,,0,1040,multiclass_rectangular_hungarian,103144,103144,14,167,167,0,11.928571428571429,0.47210293824412974,0.82782856985738,0.5244202783624322,0.6273582978192945,0.973409943236761,0.5027825176452339,0.6554708482541323,0.5027825176452339,14,153,49471,2.758720345285561,2.442131203965504,6.5,0.9613962389402771,0.9751609400449857,1.0914251952879162,1.341317365269461,0.4663553829493051,0.8236583706632051,0.5210117010074958,0.623280544055724,0.4997408431237042,0.0057475552948246245,0.004170199194174828,0.003408577354936382,0.004077753763570557,0.003041674521529647
Levine_32dim,FlowSOM,boundary_exclude_01pct,boundary_exclude,0.01,,0,1040,multiclass_rectangular_hungarian,103144,103144,14,36,36,0,2.5714285714285716,0.7893546474549094,0.8508173879202375,0.7699012487434754,0.7830799055451553,0.9740610924597995,0.7955091910338942,0.8655259691437578,0.7955091910338944,14,22,17694,1.6438418161609276,1.4392056201823746,3.357142857142857,0.8589779459070868,0.9670363763282401,1.4240662407885967,2.138888888888889,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.7910811640942947,0.007893579905822845,0.005294733174030952,0.005251119218865341,0.0054407202803877786,0.00442802693959965
Levine_32dim,X-shift,boundary_flip_05pct,boundary_flip,0.05,,4201,0,multiclass_rectangular_hungarian,104184,104184,14,168,168,0,12.0,0.4405465236778841,0.8323510254837535,0.5207035310821688,0.6278206836862835,0.9544243450878098,0.4917549719726638,0.6423386685509368,0.49175497197266377,14,154,50065,2.7912603783083862,2.541451312169082,6.857142857142857,0.9173962633672306,0.9524879060124395,1.2044470321327145,1.7619047619047619,0.4663553829493051,0.8236583706632051,0.5210117010074958,0.623280544055724,0.4997408431237042,-0.025808859271421014,0.008692654820548373,-0.0003081699253270065,0.004540139630559548,-0.007985871151040436
Levine_32dim,FlowSOM,boundary_flip_05pct,boundary_flip,0.05,,4201,0,multiclass_rectangular_hungarian,104184,104184,14,37,37,0,2.642857142857143,0.7379335610374128,0.8571129760726712,0.7683498184232134,0.7866679567619147,0.9555066373538769,0.7778545650003839,0.8474767240932252,0.777854565000384,14,23,18013,1.6502484186907729,1.5161876893560606,3.2857142857142856,0.8435366463899533,0.9462585425785149,1.503620240350923,2.5135135135135136,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.7910811640942947,-0.0435275065116737,0.011590321326464648,0.0036996888986032817,0.009028771497147203,-0.013226599093910774
Levine_32dim,X-shift,boundary_exclude_05pct,boundary_exclude,0.05,,0,5208,multiclass_rectangular_hungarian,98976,98976,14,163,163,0,11.642857142857142,0.47721176635563195,0.8430498609343035,0.5351096091499853,0.6415155821913547,0.9776449361398389,0.507193663110249,0.660141826312296,0.5071936631102489,14,149,47318,2.684319148528524,2.300284505193763,6.214285714285714,0.9699900111490757,0.9807630132557388,1.0705727335035742,1.2699386503067485,0.4663553829493051,0.8236583706632051,0.5210117010074958,0.623280544055724,0.4997408431237042,0.01085638340632683,0.01939149027109832,0.014097908142489457,0.018235038135630766,0.007452819986544734
Levine_32dim,FlowSOM,boundary_exclude_05pct,boundary_exclude,0.05,,0,5208,multiclass_rectangular_hungarian,98976,98976,14,36,36,0,2.5714285714285716,0.7980670706699656,0.8663576775960438,0.7857776002984779,0.8001754778362924,0.979700238256266,0.8011942289039768,0.8710537815459658,0.8011942289039767,14,22,16941,1.5922822675876833,1.3712308330423504,3.0714285714285716,0.8738986396278311,0.9736804881991594,1.3603125779043477,1.8888888888888888,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.7910811640942947,0.01660600312087912,0.02083502284983718,0.021127470773867785,0.022536292571524896,0.010113064809681993
