source_run,run_name,repeat,runtime_seconds,all_checks_passed,dataset,algorithm,seed_control,k_neighbors,evaluation_scope,n_valid_communities,outlier_events,outlier_fraction,quality_q,evaluation_mode,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events,n_predicted_clusters_evaluable,clusters_absent_from_evaluation,overclustering_ratio_evaluable,ari,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hungarian_accuracy,matched_clusters,unmatched_evaluable_clusters,unmatched_evaluable_events,mean_population_effective_predicted_clusters,median_population_effective_predicted_clusters,mean_population_split_clusters_ge_1pct,mean_evaluable_cluster_purity,weighted_evaluable_cluster_purity,mean_cluster_effective_true_populations,mean_cluster_merge_populations_ge_1pct
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat000,0,458.522380800001,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.885591,multiclass_rectangular_hungarian,167044,81747,24,26,25,1,1.0416666666666667,0.8719685398018595,0.4646868063467151,0.5208877738632728,0.4615501176438849,0.8645607026695359,0.8842526331241514,0.8657350715698205,0.8842526331241514,24,1,42,1.5952944896982366,1.1798197688008365,3.0416666666666665,0.7030612158733162,0.8865034802500398,2.1934896501661005,3.96
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat001,1,311.5008799999996,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,24,0,0.0,0.884417,multiclass_rectangular_hungarian,167044,81747,24,24,24,0,1.0,0.8678161613024327,0.4614570997299982,0.5194448043802868,0.4639276217730145,0.8659105723081915,0.8831149766963926,0.8668218616186167,0.8831149766963925,24,0,0,1.568816309548019,1.208181295275234,3.083333333333333,0.681030590885956,0.8862710558185621,2.2678248700481327,4.125
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat002,2,316.79267309999705,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.884712,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.8703659415348791,0.4698324319701074,0.5200297186042434,0.4657165094104328,0.8628423661445392,0.886271055818562,0.8663403126673628,0.8862710558185621,24,0,0,1.5691867378984865,1.173705072391259,3.0,0.7145345056337113,0.8874209451111356,2.1644302732593217,3.9583333333333335
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat003,3,287.97757699999784,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.884703,multiclass_rectangular_hungarian,167044,81747,24,25,23,2,0.9583333333333334,0.8735472076907127,0.4583619559662366,0.5198888609313131,0.4580439124749227,0.8655244654420242,0.8836409898834208,0.8660054814498224,0.8836409898834208,23,0,0,1.584786514440801,1.193757606375463,3.125,0.6657929289117531,0.8848398106352526,2.3734193920193465,4.260869565217392
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat004,4,453.3351662000059,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.886153,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.8767147252200064,0.4479233689490048,0.5208692304119265,0.4601522309228746,0.8654584802145859,0.8855860153889439,0.8680754286043769,0.8855860153889439,24,0,0,1.574896944495774,1.1751385315461294,3.083333333333333,0.6738020100604608,0.8878368625148324,2.288794134826053,4.083333333333333
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat005,5,229.6732463000008,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.88492,multiclass_rectangular_hungarian,167044,81747,24,26,26,0,1.0833333333333333,0.8612809473193388,0.4477749944392886,0.5189219726805642,0.4602176436914229,0.8592890890844325,0.8792126928205317,0.8613325554732587,0.8792126928205316,24,2,8,1.5946184160828225,1.1671277245058054,3.0416666666666665,0.6876338121713071,0.8823932376723305,2.230639139727032,3.923076923076923
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat006,6,377.7614164000042,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.885006,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.8801425222699796,0.4482036390306699,0.5116559925615553,0.4598104664709191,0.8691746710564342,0.8872619178685457,0.8724339274602939,0.8872619178685456,24,0,0,1.5882878192920025,1.139890906316619,3.208333333333333,0.68804116292687,0.8904057641259007,2.277296013048163,4.041666666666667
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat007,7,277.9425065000032,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.88451,multiclass_rectangular_hungarian,167044,81747,24,26,25,1,1.0416666666666667,0.8629611266653764,0.443417857990051,0.5175594558840979,0.4566071280139948,0.8589926521503567,0.8764235996428005,0.8602241029014372,0.8764235996428004,24,1,2,1.6327875852455442,1.1719795294125683,3.208333333333333,0.7214058705023462,0.8817693615667853,2.133973770983576,3.96
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat008,8,299.9300196999975,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.884683,multiclass_rectangular_hungarian,167044,81747,24,25,23,2,0.9583333333333334,0.8683962725309304,0.4534573310083861,0.5178423086031643,0.459827263764631,0.8624214988006277,0.8829192508593587,0.8645256998413025,0.8829192508593587,23,0,0,1.5709416506821097,1.1753530403114891,3.208333333333333,0.661090304203089,0.884986605013028,2.339832491694145,4.304347826086956
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat009,9,301.61977599999955,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.883181,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.8573096313049752,0.4636264521845956,0.5173294460246946,0.4569501997038618,0.8582341653713039,0.8757630249428114,0.8566224322816869,0.8757630249428113,24,0,0,1.6221614229690828,1.1812269645774558,3.1666666666666665,0.69051785865047,0.877818146231666,2.2676882432737986,4.125
