algorithm,dataset,repeat_type,n_runs,evaluation_scope,parameter_regime,objective,ari_mean,ari_sd,ari_min,ari_max,ari_bootstrap_mean_ci95_low,ari_bootstrap_mean_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,macro_f1_bootstrap_mean_ci95_low,macro_f1_bootstrap_mean_ci95_high,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,accuracy_bootstrap_mean_ci95_low,accuracy_bootstrap_mean_ci95_high,objective_mean,objective_sd,objective_min,objective_max,objective_bootstrap_mean_ci95_low,objective_bootstrap_mean_ci95_high,pairwise_partition_ari_mean,pairwise_partition_ari_min,pairwise_partition_ari_max,pair_count
FlowSOM,Levine_32dim,controlled_seed_0_29,30,all_events,fixed_grid10_rlen30_metaclusters40,median_bmu_distance,0.7397078805362586,0.0595299554173532,0.5950783978549284,0.8571458107352024,0.7182190486311167,0.7602644861019366,0.7251971239527452,0.0285416735796246,0.6742086790951352,0.7791164911918365,0.7152913025886287,0.7352579320527861,0.7327955028283294,0.061493765830706,0.5779390309452507,0.8485468018121785,0.710637621899716,0.7542552119327345,2.17359778881073,0.0047944087547729,2.1621315479278564,2.180326700210572,2.1718774183591205,2.175278288324674,0.7763786301361328,0.5892237329091524,0.90337240096576,435
FlowSOM,Samusik_01,controlled_seed_0_29,30,all_events,fixed_grid10_rlen30_metaclusters40,median_bmu_distance,0.8302167404790866,0.0532316540335329,0.6485931783910027,0.8856295958942387,0.8101064527207159,0.8475931936517723,0.6927638400704998,0.0144265317899397,0.6544313173732816,0.7195022390086542,0.6875904450925546,0.6977525339371519,0.8108081169014348,0.045511818662513,0.6372595114061648,0.8475542098433415,0.793163557319191,0.8253224694237051,2.3800094604492186,0.0035903023447319,2.371444702148437,2.3869028091430664,2.378734517296156,2.3812919451793038,0.7717618999169873,0.6029787264388525,0.8775924111094108,435
GMM,Levine_32dim,controlled_seed_0_29,30,all_events,fixed_40_components_full_covariance,lower_bound,0.2474289970885457,0.0146330672326717,0.2184396628448216,0.2772614395694551,0.2423177925251043,0.2525938462194431,0.4850914778271906,0.0358202345302678,0.4054082085885405,0.5421990596731187,0.4725067037997604,0.4976425419769754,0.2798199979523408,0.0156122769471287,0.2491169469400291,0.3174287798510328,0.2745129770406204,0.2852130845427321,-9.146253534954528,0.0648429594755472,-9.283080745802875,-9.042163390236322,-9.169149492381226,-9.124035930947302,0.4201931465590248,0.3462810725591777,0.6016883166397978,435
GMM,Samusik_01,controlled_seed_0_29,30,all_events,fixed_40_components_full_covariance,lower_bound,0.2676699936168011,0.0101952652215212,0.2523965455959458,0.292388824410943,0.2640902106477848,0.2713444790119776,0.5217798481062553,0.0338011615397368,0.4330684695614225,0.5676802289066736,0.5094765963750159,0.5329270445629768,0.3441815708473598,0.0117249673100753,0.3166268594963609,0.370451168826284,0.3399833248703917,0.3482983531742299,-11.78036953237442,0.055945003547227,-11.904102509922737,-11.65529771533075,-11.800376481656963,-11.76038959379907,0.4320848843803747,0.3468311977544465,0.6150229470742266,435
Leiden_fixed_PhenoGraph_graph,Levine_32dim,controlled_seed_0_29,30,fixed_20000_training_events_only,fixed_k15_jaccard_graph_resolution1,quality_q,0.6487413949267641,0.0108364437493299,0.6286314819328993,0.6710724821441898,0.644996680765425,0.6525879961710721,0.5945421715243334,0.0034263854462368,0.5870767992570446,0.5994443410022682,0.5933086133274621,0.5957278845402237,0.6644566047340291,0.0106624461690801,0.6399847289386612,0.6833799949096462,0.6605538941206415,0.6681555951471961,0.8291456266542017,0.0008407235385306,0.8276934807631535,0.8303540379495168,0.8288500633321387,0.8294478898381848,0.9161991232737186,0.8323622575319829,0.978650720618627,435
Leiden_fixed_PhenoGraph_graph,Samusik_01,controlled_seed_0_29,30,fixed_20000_training_events_only,fixed_k15_jaccard_graph_resolution1,quality_q,0.8545628674428482,0.0397694090855806,0.7426243063439345,0.8969111280427836,0.8399207716223632,0.8677972422292418,0.6654150916861574,0.0087667001916708,0.655015914326583,0.6976291696336215,0.6626314661876787,0.6687086685561855,0.8522163193025473,0.0311838607422149,0.7587249693502248,0.8957907642010625,0.8404928483857785,0.8627435635472006,0.8372596005699493,0.0017028004580818,0.8306476498658718,0.8391396403321074,0.8366161659654946,0.8378048548630919,0.911923633032375,0.7293263290403829,0.9957670703325482,435
PhenoGraph_default_Louvain,Levine_32dim,uncontrolled_native_repeat_0_29,30,fixed_20000_training_events_only,fixed_k15_jaccard_graph_default_louvain,quality_q,0.6535074342639611,0.0125001582179393,0.630496040380573,0.6751700123695592,0.6490225072153089,0.6579356239022309,0.5971672696012597,0.0058514485641233,0.5867590603212449,0.6067280633153281,0.5950994237781929,0.599249697991029,0.67230423347756,0.0140233234907461,0.6431662000509035,0.6911427844235174,0.6674471875795368,0.6771275557817936,0.8784620333333333,0.0005242125446362,0.877612,0.879497,0.8782777333333333,0.8786527049999999,0.8768349884343308,0.8119971343457701,1.0,435
PhenoGraph_default_Louvain,Samusik_01,uncontrolled_native_repeat_0_29,30,fixed_20000_training_events_only,fixed_k15_jaccard_graph_default_louvain,quality_q,0.8514162756586784,0.0365079591507647,0.7752155689251313,0.89946377546375,0.8382653572134575,0.8639164639231635,0.6528176643166284,0.0195319448797874,0.6131840901929109,0.6972973875246317,0.6458622662045442,0.6596405876039539,0.8525868410298324,0.0325143685152685,0.7780138945647732,0.8961176951369023,0.8409605639558644,0.8636971802206784,0.8913439000000001,0.0005651595044916,0.890433,0.892522,0.8911454541666667,0.8915454383333331,0.8900723249459058,0.8104705319511201,0.961504912180781,435
KMeans,Levine_32dim,controlled_seed_0_29,30,all_events,K_equals_true_population_count_sensitivity_only,inertia_per_fit_cell,0.6551413902814356,0.069899153027433,0.5393821393806126,0.8557828133498145,0.6311845788494352,0.6807053258646154,0.4614705139869422,0.0439715811764405,0.3743099065547807,0.5446977641116088,0.4462937655533516,0.4775003168477021,0.6435729094678647,0.0684885844040981,0.5118636258926514,0.8128887353144437,0.6200822583122167,0.6677340970462515,8.47516815695226,0.1353079920970986,8.299507554604837,8.717025100537533,8.428686454294697,8.522875932231711,0.7672286318393966,0.5217303886345793,0.9998739052000029,435
KMeans,Samusik_01,controlled_seed_0_29,30,all_events,K_equals_true_population_count_sensitivity_only,inertia_per_fit_cell,0.5676962551536787,0.0454062007571501,0.4935164963181422,0.6593687040323263,0.5515699046866955,0.5834910327294428,0.5363527811604091,0.040425746348525,0.4553320204713071,0.6126773033507157,0.5218366638223146,0.5505100807277624,0.5997523805941612,0.0446091415258263,0.5079645684840051,0.6840689823782747,0.5838961816460735,0.6152692939399068,9.061741060939418,0.0646735225252541,8.95912936660748,9.19585454319907,9.039501689815266,9.084870592313315,0.7189426799412606,0.4925270871082517,0.9921685673588214,435
