algorithm,source_run,dataset,endpoint,n_runs,bic_one_minus_two,empirical_p_raw,component_1_mean,component_2_mean,component_1_weight,component_2_weight,standardized_mean_separation,empirical_p_holm,reject_unimodal_gaussian_family_0_05,reject_single_gaussian_0_05,empirical_p_holm_global_40,reject_single_gaussian_global_0_05
FlowSOM,EXP-021C_flowsom_stability30_distribution_analysis_20260910,Levine_32dim,ari,30,-3.0422059640725223,0.1499700059988002,0.6631475431672211,0.7714377978040059,0.2930080585198779,0.706991941480122,3.428838436119074,0.7498500299940012,False,,1.0,False
FlowSOM,EXP-021C_flowsom_stability30_distribution_analysis_20260910,Levine_32dim,macro_f1,30,-8.978041378081798,0.7110577884423115,0.6995757611496072,0.7427712755563824,0.406851309562849,0.5931486904371509,2.3488342763538785,1.0,False,,1.0,False
FlowSOM,EXP-021C_flowsom_stability30_distribution_analysis_20260910,Levine_32dim,hungarian_accuracy,30,-4.173942315868899,0.2023595280943811,0.6357394354383848,0.7578324313837853,0.2050644130860089,0.7949355869139911,3.4863114830793984,0.8094381123775245,False,,1.0,False
FlowSOM,EXP-021C_flowsom_stability30_distribution_analysis_20260910,Levine_32dim,median_bmu_distance,30,-7.668820598428482,0.5134973005398921,2.1700885894930275,2.17662861315434,0.4634271220666838,0.5365728779333162,1.8435862645901624,1.0,False,,1.0,False
FlowSOM,EXP-021C_flowsom_stability30_distribution_analysis_20260910,Samusik_01,ari,30,4.661746098742611,0.0355928814237152,0.7483504478827355,0.8506061599278767,0.1993963861871044,0.8006036138128956,3.1246627203657704,0.2491501699660068,False,,1.0,False
FlowSOM,EXP-021C_flowsom_stability30_distribution_analysis_20260910,Samusik_01,macro_f1,30,1.290730786759582,0.0633873225354929,0.6557236128986713,0.6954015252542297,0.0664774184713526,0.9335225815286472,3.881664180432591,0.3803239352129574,False,,1.0,False
FlowSOM,EXP-021C_flowsom_stability30_distribution_analysis_20260910,Samusik_01,hungarian_accuracy,30,19.52444005750841,0.0001999600079984,0.744684878583007,0.8287167814243362,0.2131174460813656,0.7868825539186344,2.936128488324869,0.0015996800639872,True,,0.007998400319935999,True
FlowSOM,EXP-021C_flowsom_stability30_distribution_analysis_20260910,Samusik_01,median_bmu_distance,30,-8.221945585747335,0.586882623475305,2.372459382472828,2.380532141514493,0.0647462735574721,0.935253726442528,2.617178147328788,1.0,False,,1.0,False
GMM,EXP-022C_gmm_stability30_distribution_analysis_20260910,Levine_32dim,ari,30,-8.75136679486954,0.6740651869626075,0.2318807637467643,0.255104616011196,0.33050584525143,0.66949415474857,2.466622902660877,1.0,,False,1.0,False
GMM,EXP-022C_gmm_stability30_distribution_analysis_20260910,Levine_32dim,macro_f1,30,0.7847065793685033,0.0701859628074385,0.473651556866336,0.5249514859499975,0.7769992831335487,0.2230007168664512,1.8305949886385549,0.4913017396520696,,False,1.0,False
