,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,4,2,0,0,5,0,0,0,0,0,0,0,0,28,0,867,0,0,0,2,4,0,0,0
10,2,0,0,301,0,0,1,3,0,8,8,0,274,4,0,0,1,0,1,0,0,0,0,5
11,0,0,13,0,0,0,0,0,13,0,0,13566,0,0,1,0,0,362,0,0,0,9,0,0
12,0,0,7777,0,0,0,0,0,0,0,0,0,0,0,38,0,6,0,0,0,0,0,0,0
13,27,0,0,0,0,3624,30,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,7,0,0,73,109,0,0,0,0
15,23,1,0,0,1,6,33,0,9,0,0,0,0,8,2,2,0,0,23,44,0,0,0,0
16,463,12,1,0,0,562,584,0,515,0,2,5,0,17,844,6,0,0,0,1,5,1,7,0
17,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,6921,0,0,38,7,0,0
18,0,0,385,0,0,0,0,0,0,0,0,0,0,1,9,0,9168,0,0,0,0,1,0,0
19,4,915,0,28,1,11,30,15,6,2519,25,0,92,9,33,3,0,0,1,3,136,17,16,0
2,0,2,0,0,6759,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0
20,0,0,0,137,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,327
21,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,226,0,0,0
22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,0,0,13,0,0,2,0,0,0,0,0,0,2,0,1,0,0,159,24,0,0,0,37
24,1,0,0,758,0,1,4,0,5,53,2,0,3,7,0,3,0,0,0,0,5,1,0,151
3,3,7,0,0,569,0,0,0,1,2,0,0,0,31,0,662,0,0,0,0,2,1,0,0
4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,148,95,0,0,0,0
5,7,0,0,0,0,51,11829,0,11,0,0,0,0,0,131,0,0,0,0,1,0,0,0,0
6,0,0,0,2,0,0,0,0,0,44,0,0,1,1,0,7,0,0,10,7,0,1,0,0
7,76,1,0,0,2,4,36,0,7,0,0,0,0,10,2,2,0,0,34,85,2,0,0,0
8,141,41,2,4,0,24,133,33,22,5,20,2,0,2,18,0,8,0,0,0,8,3,36,0
9,61,8,3,9,0,4,33,3551,11,2,3553,0,73,4,7,1,1,0,0,1,7,0,467,0
