true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
B-cell Frac A-C (pro-B cells),20,3,21,4,147,0,0,4,9,13,2,10,2,0,2,3,1,4,6,13,0,0,2
Basophils,0,0,0,0,0,0,0,0,5,0,0,0,0,0,272,0,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,399,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,181,0,0,0,0,0,615,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,0,9,41,0,0,0,0,0,0,0,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,7,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical Monocytes,253,9517,0,3386,0,0,274,1,0,0,1,0,0,171,0,0,0,4,0,0,0,0,0
Eosinophils,149,15,0,6,0,4163,745,0,28,0,0,0,3,6,51,0,1,2,0,0,0,1,3
GMP,0,0,0,0,0,0,453,0,242,0,0,0,0,0,8,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,390,1,1895,0,0,0,0,0,0,1205,0,0,0,0,0,1,1,12,0,0,3
IgDpos IgMpos B cells,0,0,8728,0,9,0,0,0,0,1,0,19,0,0,0,0,1,0,0,0,0,0,10
IgM- IgD- B-cells,0,3,39,0,965,0,0,6,1,4,1,0,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11732,56,0,20,0,1,193,5,1,0,0,0,4,5,0,0,0,0,0,0,0,28,0
MEP,0,0,0,0,7,0,0,0,79,0,334,0,0,0,0,0,0,0,0,0,0,0,0
MPP,0,0,0,0,0,0,5,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,184,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,16,6,0,0,0,0,3,0,0,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,2,896,1,0,0,0,1,10,50,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,1,0,0,0,1015,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,31,0,0,1,1,0,0,1,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,110,0,0,0,5,0,0,0,0,0
pDCs,0,0,1,0,0,0,1,2970,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
