true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
B-cell Frac A-C (pro-B cells),20,3,22,4,148,0,1,4,13,7,2,9,2,0,2,1,3,1,4,6,12,0,0,2
Basophils,0,0,0,0,0,0,0,0,0,5,0,0,0,0,272,0,0,0,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,399,0,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0
CLP,0,0,0,0,1,0,0,8,0,12,0,0,0,0,0,0,0,30,0,0,4,4,0,0
CMP,0,0,0,0,0,0,46,0,0,145,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Classical Monocytes,277,10634,0,2280,0,0,231,1,0,0,1,0,0,179,0,0,0,0,4,0,0,0,0,0
Eosinophils,329,14,0,4,0,4163,590,0,0,6,0,0,3,6,51,1,0,0,2,0,0,0,1,3
GMP,0,0,0,0,0,0,620,0,0,75,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,398,1,1863,0,0,0,0,0,0,1233,0,0,0,0,0,0,1,1,8,0,0,3
IgDpos IgMpos B cells,0,0,8721,0,7,0,0,0,1,0,0,29,0,0,0,1,0,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,39,0,965,0,0,7,4,0,1,0,0,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11855,48,0,17,0,2,91,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,21,0
MEP,0,0,0,0,1,0,0,0,0,85,333,0,0,0,0,0,0,1,0,0,0,0,0,0
MPP,0,0,0,0,0,0,6,0,0,190,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,185,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,6,14,0,0,0,0,3,0,0,2,2,160,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,879,2,1,0,0,0,1,67,10,0,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,1,0,0,1015,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,23,0,3,0,1,1,0,6,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,1,0,0,0,0,0,0,0,0,111,0,0,0,0,4,0,0,0,0,0
pDCs,0,0,1,0,0,0,1,2970,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
