true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B-cell Frac A-C (pro-B cells),18,5,21,4,0,53,0,3,105,8,13,2,0,0,2,1,3,1,2,4,6,13,0,0,2
Basophils,0,0,0,0,0,0,0,0,0,4,0,0,0,0,272,0,0,0,1,0,14,0,1,0,0
CD4 T cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,4,0,0,0,0,0
CD8 T cells,2,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,613,0,0,0,0,0,0,0,0
CLP,0,0,0,0,0,0,0,10,1,12,0,0,0,0,0,0,0,28,0,0,0,4,4,0,0
CMP,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0
Classical Monocytes,123,10808,0,2110,0,0,367,1,0,13,0,0,0,179,0,0,0,0,1,4,0,0,0,1,0
Eosinophils,70,16,0,1,4162,0,802,0,0,55,0,3,0,6,51,1,0,0,0,2,0,0,0,1,3
GMP,0,0,0,12,0,0,5,0,0,677,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
HSC,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgD- IgMpos B cells,0,0,386,1,0,2071,0,0,1034,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,3
IgDpos IgMpos B cells,0,0,8736,0,0,18,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9
IgM- IgD- B-cells,0,3,37,0,0,533,0,7,434,0,4,0,1,0,0,0,0,0,0,5,98,0,1,0,0
Intermediate Monocytes,11275,61,0,16,1,0,652,5,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,26,0
MEP,0,0,0,0,0,0,0,0,1,0,0,0,66,0,0,0,0,1,352,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Macrophages,10,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,182,0,0,0,0,0
NK cells,0,0,0,0,0,0,0,0,0,12,6,0,0,0,3,0,0,2,2,1,161,0,2,0,0
NKT cells,0,0,0,0,0,0,0,0,0,1,879,0,1,0,1,67,10,0,1,0,1,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,1,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasma Cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
gd T cells,1,0,0,0,0,0,0,0,0,0,23,1,3,1,0,6,0,0,0,0,0,0,0,0,0
mDCs,0,0,0,0,0,1,0,0,0,0,0,0,0,110,0,0,0,0,0,5,0,0,0,0,0
pDCs,0,0,1,0,0,0,0,2970,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
