true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0,4,0,4,0,0,0,0,2,876,0,0,0,0,1,0,0,8,17,0,0,0,0,0,0,0
10,1,0,0,0,0,15,0,0,15,0,0,569,0,0,2,0,0,1,2,0,0,1,0,2,0,0
11,39,0,13197,12,3,0,496,0,0,6,0,0,20,159,1,0,0,1,0,4,0,0,0,0,2,24
12,21,0,0,10,7760,0,0,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1
13,103,0,0,136,0,0,0,0,0,0,3431,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8
14,5,0,0,0,0,0,0,0,0,8,0,0,0,0,178,0,0,0,3,0,0,0,0,0,0,0
15,46,0,0,32,0,0,0,0,0,2,5,0,0,0,59,0,0,2,6,0,0,0,0,0,0,0
16,1584,0,3,734,0,18,0,0,30,187,420,0,18,0,0,0,0,6,17,0,0,0,0,0,4,4
17,0,0,29,0,0,0,6846,0,0,0,0,0,2,62,0,0,2,43,0,0,3,0,0,0,0,0
18,5,0,0,0,1356,0,0,8121,54,0,0,0,21,0,0,1,0,5,0,0,0,0,1,0,0,0
19,57,1,0,38,0,80,0,0,3457,12,9,48,12,0,4,0,0,142,4,0,0,0,0,0,0,0
2,0,6712,0,20,0,0,0,0,0,21,0,0,0,0,0,7,0,10,8,0,0,1,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,43,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,0,2,0,7,0,0,226,0,0,1,1,0,0,0,0,0,0,0
24,2,0,0,1,0,2,0,0,70,8,0,894,0,0,4,1,0,7,5,0,0,0,0,0,0,0
3,0,553,0,18,0,0,0,0,7,660,0,0,0,0,0,3,0,16,21,0,0,0,0,0,0,0
4,16,0,0,0,0,0,0,0,2,13,0,1,0,0,221,0,0,0,0,0,0,0,0,0,0,0
5,11713,0,0,64,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5
6,1,0,0,0,0,0,0,0,45,8,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0
7,50,0,0,103,0,0,0,0,1,5,2,0,0,0,90,0,0,4,6,0,0,0,0,0,0,0
8,160,1,2,154,0,108,0,0,48,8,9,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1
9,35,1,0,66,1,7632,0,0,10,3,1,29,0,0,0,0,0,8,2,0,0,1,1,6,0,0
