true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,3,0,2,0,0,0,0,2,879,0,0,0,0,1,1,0,7,17,0,0,0,0,0,0
10,1,0,0,0,0,0,0,9,14,0,0,574,0,0,2,0,0,2,2,0,2,0,2,0,0
11,49,0,13492,15,6,320,0,0,0,1,0,0,20,34,1,0,0,0,0,0,0,0,0,2,24
12,1,0,0,10,7802,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,70,0,0,108,0,0,0,0,0,0,3493,0,0,0,0,0,0,0,0,0,0,0,6,0,7
14,4,0,0,1,0,0,0,0,0,6,0,0,0,0,179,0,0,0,4,0,0,0,0,0,0
15,40,0,0,34,0,0,0,0,0,2,5,0,0,0,63,0,0,2,6,0,0,0,0,0,0
16,1552,0,3,919,13,0,0,16,22,2,448,0,23,0,0,0,0,6,17,0,0,0,0,0,4
17,0,0,36,0,1,6900,0,0,0,0,0,0,4,0,0,0,1,42,0,3,0,0,0,0,0
18,1,0,0,0,877,0,8589,0,64,0,0,0,26,0,0,1,0,5,0,0,0,1,0,0,0
19,59,1,0,44,0,0,0,80,3443,5,9,46,27,0,4,0,0,142,4,0,0,0,0,0,0
2,0,6602,0,25,0,0,0,0,1,126,0,0,0,0,0,5,0,11,8,0,1,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,251,40,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,0,2,0,8,0,0,225,0,0,1,1,0,0,0,0,0,0
24,2,0,0,6,0,0,0,2,65,3,0,901,0,0,3,0,0,7,5,0,0,0,0,0,0
3,0,374,0,13,0,0,0,0,7,844,0,0,0,0,1,3,0,15,21,0,0,0,0,0,0
4,14,0,0,4,0,0,0,0,3,5,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0
5,11603,0,0,64,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,13,0,5
6,1,0,0,0,0,0,0,0,45,8,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0
7,50,0,0,105,0,0,0,0,1,1,3,0,0,0,91,0,0,5,5,0,0,0,0,0,0
8,145,0,2,164,1,0,0,107,48,0,21,1,0,0,0,0,0,9,1,0,0,0,2,0,1
9,34,0,0,70,2,0,0,7615,9,0,3,46,0,0,0,0,0,8,2,0,1,1,5,0,0
