true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,2,4,0,0,0,0,2,879,0,0,0,0,1,0,0,7,17,0,0,0,0,0
10,1,0,0,0,0,0,0,12,15,0,0,572,0,0,2,0,0,2,1,1,0,0,2,0
11,38,13408,0,16,4,384,0,0,0,1,0,0,20,67,1,0,0,1,0,0,0,0,0,24
12,22,0,0,5,7784,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
13,120,0,0,130,0,0,0,0,0,0,3422,0,0,0,0,0,0,0,0,0,0,0,6,6
14,6,0,0,1,0,0,0,0,0,6,0,0,0,0,180,0,0,0,1,0,0,0,0,0
15,42,0,0,35,0,0,0,0,0,2,4,0,0,0,63,0,0,2,4,0,0,0,0,0
16,1579,3,0,911,0,0,0,19,31,2,450,0,3,0,0,0,0,6,17,0,0,0,0,4
17,0,68,0,0,0,6870,0,0,0,0,0,0,3,0,0,0,1,42,0,0,3,0,0,0
18,1,0,0,0,801,0,8695,0,53,0,0,0,7,0,0,1,0,5,0,0,0,1,0,0
19,52,0,0,37,0,0,0,79,3468,7,14,50,7,0,4,0,0,142,4,0,0,0,0,0
2,0,0,6502,24,0,0,0,0,1,229,0,0,0,0,0,6,0,9,8,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,1,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,251,39,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,2,0,0,0,0,0,2,0,13,0,0,220,0,0,1,1,0,0,0,0,0
24,2,0,0,6,0,0,0,2,70,3,0,898,0,0,1,0,0,7,5,0,0,0,0,0
3,0,0,360,11,0,0,0,0,7,860,0,0,0,0,1,4,0,14,21,0,0,0,0,0
4,17,0,0,4,0,0,0,0,2,5,0,0,0,0,225,0,0,0,0,0,0,0,0,0
5,11670,0,0,64,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,11,5
6,1,0,0,0,0,0,0,0,45,9,0,1,0,0,17,0,0,0,0,0,0,0,0,0
7,51,0,0,108,0,0,0,0,1,1,3,0,0,0,87,0,0,5,5,0,0,0,0,0
8,150,2,0,160,0,0,0,111,50,0,16,0,0,0,0,0,0,9,1,0,0,0,2,1
9,36,0,0,68,1,0,0,7620,10,1,2,41,0,0,0,0,0,7,2,1,0,1,6,0
