true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,1028,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CD16-_NK_cells,1,0,23,7,0,11,3832,0,0,0,0,0,0,0,0,0,10,0,1,0,11,0,0,1,0,8,0,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,1,114,0,179,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,12,2864,0,0,0,0,35,80,0,0,298,0,0,0,0,0,5,0,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,1,914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD4_T_cells,13948,0,38,10586,0,35,0,0,0,0,0,0,0,0,397,0,172,0,971,0,0,8,0,0,156,0,55,0,0,0
CD8_T_cells,100,0,11212,56,0,7481,0,0,0,0,0,0,0,0,181,0,70,0,8,0,837,12,0,0,105,0,46,0,0,0
Mature_B_cells,0,8,0,0,8713,0,0,7430,128,8,1,0,0,0,0,0,4,3,0,1,0,0,30,10,0,74,0,0,92,18
Monocytes,0,12433,0,0,1,0,3,0,3,2865,1,3892,0,1285,0,0,0,441,0,0,0,0,0,1,0,82,0,91,0,1
Plasma_B_cells,0,0,0,0,1,0,0,1,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,303,0,1,0,0,0,0
Pre_B_cells,0,0,0,0,220,0,0,49,5668,0,2,0,0,0,0,0,0,0,0,39,0,0,3,145,0,9,0,0,0,0
Pro_B_cells,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,485,0,0,0,0,0,1,0,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,6,2,0,1226,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
