true_population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Basophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1014,0,0,0,0,1,0,0,0,0,0,0,0,0
CD16+_NK_cells,0,0,0,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
CD16-_NK_cells,4,0,18,9,0,17,0,3835,0,0,0,0,0,2,0,0,0,0,0,10,1,0,0,1,0,8,0,0,0
CD34+CD38+CD123+_HSPCs,0,0,0,0,0,0,0,0,0,86,0,29,0,0,179,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CD34+CD38+CD123-_HSPCs,0,0,0,0,0,0,0,0,1,3076,0,109,0,0,0,28,0,0,0,0,76,0,0,0,0,5,0,0,0
CD34+CD38lo_HSCs,0,0,0,0,0,0,0,0,0,912,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CD4_T_cells,13951,0,26,10431,0,33,0,0,0,0,0,0,0,1373,0,0,0,334,0,0,0,0,7,0,155,0,56,0,0
CD8_T_cells,120,0,11657,57,0,7173,0,0,0,0,0,0,0,90,0,0,0,3,0,840,0,0,12,0,110,0,46,0,0
Mature_B_cells,0,10,0,0,8438,0,7751,0,103,1,0,8,0,0,0,0,16,0,3,0,4,14,0,11,0,74,0,0,87
Monocytes,0,11223,0,0,1,0,0,3,3,1,3950,2425,2849,0,0,0,66,0,400,0,0,0,0,1,0,82,0,95,0
Plasma_B_cells,0,0,0,0,0,0,2,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,1,0,0,0
Pre_B_cells,0,0,0,0,218,0,78,0,5091,39,0,0,0,0,0,0,0,0,0,0,0,555,0,145,0,9,0,0,0
Pro_B_cells,0,0,0,0,1,0,0,0,10,499,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
pDCs,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1226,3,0,0,0,0,0,0,0,0,0,2,0,0,0
