true_population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
B-cell Frac A-C (pro-B cells),24,9,8,138,0,0,1,2,0,0,3,1,10,1,1,1,0,0,0,5,2,2,3,4,2,0,1,11,19,0,2,2,2,0,3,4,4,1,0,0
Basophils,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,272,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0
CD4 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,395,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
CD8 T cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,194,514,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CLP,4,0,0,0,3,0,0,7,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,3,0,0,0,0,0
CMP,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,162,0,5,0
Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,110,4,12108,0,0,0,0,936,1,283,17,130
Eosinophils,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,1,4120,8,1,0,0,0,2,2,49,0,0,0,97,2,12,0,0,0,0,8,18,768,51,3
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,407,0,284,0
HSC,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IgD- IgMpos B cells,127,175,1446,1754,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
IgDpos IgMpos B cells,16,8630,102,6,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IgM- IgD- B-cells,1,25,0,913,4,0,0,5,0,0,0,6,61,0,0,0,0,0,0,97,0,0,0,4,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0
Intermediate Monocytes,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11295,45,158,3,0,0,0,10,3,516,2,7
MEP,0,0,0,1,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,73,0,0,0,0,0,0
MPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,138,0,22,0,1,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,143,0,38,0,0,10,0,1,0,0,0,0,0,1,0,0,2
NK cells,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,140,0,0,17,1,6,1,3,5,0,0,0,0,0,2,9,0,0,0,0,0
NKT cells,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,45,0,0,0,8,67,1,0,0,1,0,0,813,0,0,0,0,0,1,1,0,0,0,0,0
Non-Classical Monocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Plasma Cells,3,0,0,0,0,0,113,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gd T cells,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,1,0,1,0,0,1,0,1,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0
mDCs,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,89,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pDCs,1,1,0,0,1096,1284,0,0,410,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,175,0,0,0,0,1,0,0,0
