dataset,method,repeat_type,repeat_id,ari,macro_f1,unit,source_id
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,0,0.8039410457140058,0.7336714012386826,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,1,0.7654815993403912,0.7364095832643341,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,2,0.828752834502508,0.7027946972594251,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,3,0.8368018378184318,0.7825873012525931,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,4,0.8113516296182829,0.7378849949183122,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,5,0.7877974915268757,0.6910229012686139,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,6,0.7590719754543143,0.717002009473429,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,7,0.814375639601953,0.7543408940095766,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,8,0.8003664146934959,0.7342835785561492,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,9,0.7864738961352965,0.7691656535833908,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,10,0.8176667982688743,0.7913571755293702,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,11,0.819252335463333,0.7959370130993006,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,12,0.7910957308676978,0.734208991946313,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,13,0.8145397860105825,0.7389743426757333,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,14,0.8456999616904961,0.7361792835417678,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,15,0.7728242578992003,0.7678344006205463,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,16,0.7628581386904265,0.7291546481564497,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,17,0.8226490189435641,0.741078962261158,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,18,0.8529474301785759,0.787835810645794,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,19,0.8421395531520243,0.7458425722091508,algorithm_run,flowsom_r_full_run_points
Levine_32dim,FlowSOM_R_2.18.0_full_event,controlled_seed,20,0.8110253776864447,0.7370088402292962,algorithm_run,flowsom_r_full_run_points
