Population,Reference events,TP,FP,FN,Precision,Recall,F1,Overlapping predicted clusters,Effective predicted clusters
CD4_T_cells,26366,13552,199,12814,0.9855283252,0.513995297,0.6756238004,25,2.437027693
Monocytes,21099,7859,4,13240,0.9994912883,0.3724821082,0.5427111387,55,5.697053654
CD8_T_cells,20108,12901,117,7207,0.9910124443,0.6415854386,0.7789047878,30,2.026072605
Mature_B_cells,16520,6770,29,9750,0.9957346669,0.4098062954,0.5806423946,50,3.743646708
Pre_B_cells,6135,3818,100,2317,0.9744767739,0.6223308883,0.7595742564,27,2.46348113
CD16-_NK_cells,3905,2090,323,1815,0.8661417323,0.5352112676,0.6616017727,24,2.734273649
CD34+CD38+CD123-_HSPCs,3295,1327,341,1968,0.7955635492,0.4027314112,0.5347572033,25,4.890981415
CD16+_NK_cells,2248,1089,8,1159,0.9927073838,0.484430605,0.6511210762,9,3.036151412
pDCs,1238,858,344,380,0.7138103161,0.6930533118,0.7032786885,11,1.937647127
Basophils,1207,709,0,498,1,0.5874067937,0.7400835073,7,2.512740067
CD34+CD38lo_HSCs,916,492,184,424,0.7278106509,0.5371179039,0.6180904523,12,2.372332364
Pro_B_cells,513,303,147,210,0.6733333333,0.5906432749,0.6292834891,16,2.512521123
Plasma_B_cells,330,284,100,46,0.7395833333,0.8606060606,0.7955182073,10,1.34139732
CD34+CD38+CD123+_HSPCs,304,13,158,291,0.07602339181,0.04276315789,0.05473684211,9,1.390550707
