Method,Dataset,Endpoint,n runs,Raw empirical p,Global Holm adjusted p,Reject single Gaussian
FlowSOM,Levine_32dim,ari,30,0.149970006,1,False
FlowSOM,Levine_32dim,macro_f1,30,0.7110577884,1,False
FlowSOM,Levine_32dim,hungarian_accuracy,30,0.2023595281,1,False
FlowSOM,Levine_32dim,median_bmu_distance,30,0.5134973005,1,False
FlowSOM,Samusik_01,ari,30,0.03559288142,1,False
FlowSOM,Samusik_01,macro_f1,30,0.06338732254,1,False
FlowSOM,Samusik_01,hungarian_accuracy,30,0.000199960008,0.00799840032,True
FlowSOM,Samusik_01,median_bmu_distance,30,0.5868826235,1,False
GMM,Levine_32dim,ari,30,0.674065187,1,False
GMM,Levine_32dim,macro_f1,30,0.07018596281,1,False
GMM,Levine_32dim,hungarian_accuracy,30,0.9428114377,1,False
GMM,Levine_32dim,lower_bound,30,0.1303739252,1,False
GMM,Samusik_01,ari,30,0.2053589282,1,False
GMM,Samusik_01,macro_f1,30,0.02199560088,0.7918416317,False
GMM,Samusik_01,hungarian_accuracy,30,0.9814037193,1,False
GMM,Samusik_01,lower_bound,30,0.7422515497,1,False
Leiden_fixed_PhenoGraph_graph,Levine_32dim,ari,30,0.3617276545,1,False
Leiden_fixed_PhenoGraph_graph,Levine_32dim,macro_f1,30,0.6784643071,1,False
Leiden_fixed_PhenoGraph_graph,Levine_32dim,hungarian_accuracy,30,0.6952609478,1,False
Leiden_fixed_PhenoGraph_graph,Levine_32dim,quality_q,30,0.9594081184,1,False
Leiden_fixed_PhenoGraph_graph,Samusik_01,ari,30,0.000199960008,0.00799840032,True
Leiden_fixed_PhenoGraph_graph,Samusik_01,macro_f1,30,0.008398320336,0.3107378524,False
Leiden_fixed_PhenoGraph_graph,Samusik_01,hungarian_accuracy,30,0.1151769646,1,False
Leiden_fixed_PhenoGraph_graph,Samusik_01,quality_q,30,0.05798840232,1,False
PhenoGraph_default_Louvain,Levine_32dim,ari,30,0.3405318936,1,False
PhenoGraph_default_Louvain,Levine_32dim,macro_f1,30,0.3237352529,1,False
PhenoGraph_default_Louvain,Levine_32dim,hungarian_accuracy,30,0.08418316337,1,False
PhenoGraph_default_Louvain,Levine_32dim,quality_q,30,0.9594081184,1,False
PhenoGraph_default_Louvain,Samusik_01,ari,30,0.06018796241,1,False
PhenoGraph_default_Louvain,Samusik_01,macro_f1,30,0.3539292142,1,False
PhenoGraph_default_Louvain,Samusik_01,hungarian_accuracy,30,0.1167766447,1,False
PhenoGraph_default_Louvain,Samusik_01,quality_q,30,0.9594081184,1,False
KMeans,Levine_32dim,ari,30,0.5370925815,1,False
KMeans,Levine_32dim,macro_f1,30,0.08398320336,1,False
KMeans,Levine_32dim,hungarian_accuracy,30,0.9272145571,1,False
KMeans,Levine_32dim,inertia_per_fit_cell,30,0.006598680264,0.25074985,False
KMeans,Samusik_01,ari,30,0.6942611478,1,False
KMeans,Samusik_01,macro_f1,30,0.1345730854,1,False
KMeans,Samusik_01,hungarian_accuracy,30,0.4707058588,1,False
KMeans,Samusik_01,inertia_per_fit_cell,30,0.2311537692,1,False
