Dataset,Regime,Metric,n seeds,Mean,SD,Min,Max
Levine_32dim,official_auto_max40,ari,30,0.6767095809,0.01070984856,0.6542901196,0.6944644385
Levine_32dim,official_auto_max40,macro_f1,30,0.2995657503,0.02223522244,0.2843096208,0.3506533332
Levine_32dim,official_auto_max40_selector_seed_sensitivity,ari,30,0.6795100768,2.258405142e-16,0.6795100768,0.6795100768
Levine_32dim,official_auto_max40_selector_seed_sensitivity,macro_f1,30,0.2891605203,0,0.2891605203,0.2891605203
Levine_32dim,official_fixed_k40,ari,30,0.7566467685,0.06028401298,0.5885751964,0.8571458107
Levine_32dim,official_fixed_k40,macro_f1,30,0.7314422979,0.02834019908,0.6742086791,0.7791164912
Levine_32dim,official_fixed_ktrue,ari,30,0.6798073794,0.01313669819,0.6545313274,0.7026959325
Levine_32dim,official_fixed_ktrue,macro_f1,30,0.473131829,0.02832784814,0.415297614,0.5456580573
Samusik_01,official_auto_max40,ari,30,0.4172855023,0.01381736742,0.3971440849,0.4572313256
Samusik_01,official_auto_max40,macro_f1,30,0.2476200078,0.04902232883,0.1700285935,0.3582494509
Samusik_01,official_auto_max40_selector_seed_sensitivity,ari,30,0.4381432141,0.01654764466,0.4201884903,0.4542953306
Samusik_01,official_auto_max40_selector_seed_sensitivity,macro_f1,30,0.3185161213,0.03035731228,0.2840999805,0.3578853641
Samusik_01,official_fixed_k40,ari,30,0.8628261452,0.033400331,0.7324623204,0.897464453
Samusik_01,official_fixed_k40,macro_f1,30,0.6952428574,0.01372557321,0.6570190707,0.719502239
Samusik_01,official_fixed_ktrue,ari,30,0.7707347265,0.1330290083,0.5726127252,0.8946143736
Samusik_01,official_fixed_ktrue,macro_f1,30,0.6512922279,0.02556248835,0.6062429927,0.6893953029
