Dataset,Grid side,rlen,Mean median BMU distance,Mean ARI,Mean Macro F1,3-objective Pareto
Levine_32dim,10,10,2.187669849,0.5665790373,0.6661838463,False
Levine_32dim,10,20,2.177005291,0.6589335966,0.7110276706,False
Levine_32dim,10,30,2.175846672,0.7396149214,0.7193292043,False
Levine_32dim,15,10,2.089898252,0.6624109159,0.6514017602,False
Levine_32dim,15,20,2.068940115,0.7486033296,0.719354032,False
Levine_32dim,15,30,2.06446476,0.7825151168,0.7435940135,True
Levine_32dim,20,10,2.04461484,0.6834883571,0.658543088,False
Levine_32dim,20,20,2.009741926,0.7505341965,0.7287485358,True
Levine_32dim,20,30,1.99841187,0.8020623436,0.7193879501,True
Samusik_01,10,10,2.39155221,0.7685289632,0.6864306758,False
Samusik_01,10,20,2.382988596,0.7987715521,0.7008894254,True
Samusik_01,10,30,2.378696442,0.8165511528,0.6938094989,True
Samusik_01,15,10,2.303578138,0.7755039191,0.6664976841,False
Samusik_01,15,20,2.28292594,0.8363995326,0.6767342758,False
Samusik_01,15,30,2.273509216,0.8350485747,0.6786655129,True
Samusik_01,20,10,2.259742689,0.824877473,0.6783850483,True
Samusik_01,20,20,2.227618551,0.8356720375,0.67511764,False
Samusik_01,20,30,2.213439178,0.8703893273,0.677861741,True
